timestamp,latitude,longitude,speed(m/s)
1577219880,-27.68496434,-51.12444112,2.18544
1577219881,-27.68497259,-51.12443341,1.2496246
1577219882,-27.68497717,-51.12442896,0.64615333
1577219883,-27.68497935,-51.12442664,0.3591736
1577219884,-27.68498617,-51.12441982,0.9988039
1577219885,-27.68499901,-51.12440574,1.9491273
1577219886,-27.68501601,-51.12438779,2.5973837
1577219887,-27.68503494,-51.12437114,2.598282
1577219888,-27.68505808,-51.12436187,2.7117126
1577219889,-27.68508343,-51.12436449,2.8714101
1577219890,-27.68510627,-51.12437291,2.6584718
1577219891,-27.68512673,-51.12438802,2.7112477
1577219892,-27.68514883,-51.12440931,3.2166798
1577219893,-27.68517655,-51.1244377,4.12352
1577219894,-27.68520623,-51.1244701,4.592922
1577219895,-27.68523925,-51.12450788,5.2287974
1577219896,-27.68527685,-51.12455177,5.985607
1577219897,-27.68531697,-51.1245985,6.3992276
1577219898,-27.6853588,-51.12464619,6.587071
1577219899,-27.68539612,-51.12469145,6.085008
1577219900,-27.68542563,-51.1247257,4.701348
1577219901,-27.68545059,-51.1247558,4.063622
1577219902,-27.68547686,-51.12478759,4.2812037
1577219903,-27.68550749,-51.1248257,5.083537
1577219904,-27.68554313,-51.12487032,5.9375196
1577219905,-27.68558422,-51.12492193,6.819766
1577219906,-27.68563059,-51.12497957,7.6532927
1577219907,-27.68567801,-51.1250421,8.115873
1577219908,-27.68572238,-51.12510216,7.693281
1577219909,-27.68575981,-51.12515421,6.5796127
1577219910,-27.685789,-51.12519575,5.2126284
1577219911,-27.68580684,-51.12521949,3.0386267
1577219912,-27.68581526,-51.12523031,1.4016067
1577219913,-27.68582041,-51.12523767,0.9149913
1577219914,-27.68582606,-51.1252453,0.97377425
1577219915,-27.68583126,-51.12525269,0.92525107
1577219916,-27.68584316,-51.12526728,1.9565347
1577219917,-27.68586507,-51.12528479,2.9628913
1577219918,-27.68590122,-51.12529844,4.2422338
1577219919,-27.68594328,-51.12530001,4.6424847
1577219920,-27.68598733,-51.12529169,4.960363
1577219921,-27.68603752,-51.12527495,5.8073735
1577219922,-27.68609185,-51.12525293,6.4250474
1577219923,-27.68615188,-51.12522818,7.2585106
1577219924,-27.68621572,-51.12520409,7.5468793
1577219925,-27.68628799,-51.1251783,8.136993
1577219926,-27.68636231,-51.12515061,8.859287
1577219927,-27.68643748,-51.12512504,8.603775
1577219928,-27.68650947,-51.12510044,8.268064
1577219929,-27.68658083,-51.12507608,8.263566
1577219930,-27.68664974,-51.12505076,8.035125
1577219931,-27.68671603,-51.1250249,7.7745004
1577219932,-27.68678082,-51.12500033,7.5075912
1577219933,-27.68684351,-51.12497899,7.2617145
1577219934,-27.68690759,-51.12495449,7.3704686
1577219935,-27.68697103,-51.1249285,7.4961696
1577219936,-27.68703109,-51.12489381,7.424069
1577219937,-27.68708275,-51.12484648,7.342692
1577219938,-27.68712611,-51.12478758,7.5547934
1577219939,-27.68715939,-51.12471625,7.887163
1577219940,-27.68718252,-51.12463504,8.345705
1577219941,-27.68719614,-51.12454725,8.76183
1577219942,-27.68720229,-51.12445521,9.061766
1577219943,-27.68720016,-51.12436211,9.154294
1577219944,-27.68719199,-51.12426262,9.773511
1577219945,-27.68717956,-51.12415877,10.30637
1577219946,-27.68716591,-51.12405297,10.493125
1577219947,-27.68715367,-51.12394915,10.312511
1577219948,-27.68714073,-51.12385069,9.784453
1577219949,-27.68712768,-51.1237577,9.241221
1577219950,-27.68711534,-51.12366783,8.919467
1577219951,-27.68710238,-51.12358094,8.640318
1577219952,-27.68708902,-51.12349467,8.623466
1577219953,-27.68707579,-51.12340715,8.747443
1577219954,-27.68706375,-51.12331752,8.920105
1577219955,-27.68705369,-51.12322613,9.068219
1577219956,-27.68704701,-51.12313303,9.188036
1577219957,-27.68704818,-51.12303935,9.214352
1577219958,-27.68706066,-51.12294568,9.307186
1577219959,-27.68707411,-51.12284949,9.400344
1577219960,-27.68710931,-51.12276016,9.373545
1577219961,-27.68715253,-51.12267625,9.509132
1577219962,-27.68720187,-51.12259913,9.599422
1577219963,-27.68725335,-51.12251886,9.654871
1577219964,-27.68730577,-51.12244169,9.5775585
